Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,529010,282670,-0.104043,52.426767,35,3,1,2,17/04/2012,3,12:10,393,E10000003,4,1040,6,60,0,-1,-1,0,0,0,1,4,1,0,0,2,1,E01018211
2.01E+12,528530,264540,-0.118031,52.263973,35,3,1,1,17/04/2012,3,15:48,393,E10000003,4,1040,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018204
2.01E+12,531710,271270,-0.068832,52.323693,35,3,2,1,13/01/2012,6,15:15,393,E10000003,3,1096,1,60,1,4,5,303,0,0,1,1,1,0,0,1,2,E01018168
2.01E+12,522970,273220,-0.196292,52.343241,35,3,2,2,19/04/2012,5,11:22,393,E10000003,3,141,1,40,1,4,4,1044,0,0,1,2,2,0,0,1,1,E01018150
2.01E+12,518660,264820,-0.262487,52.268705,35,3,1,1,21/04/2012,7,07:00,393,E10000003,3,1,3,70,3,4,6,0,0,0,1,1,2,0,0,2,1,E01018119
2.01E+12,507610,298920,-0.413387,52.577427,35,3,1,1,21/04/2012,7,00:50,393,E10000003,4,671,6,30,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01018128
2.01E+12,524410,271790,-0.175694,52.330067,35,3,1,1,21/04/2012,7,16:55,393,E10000003,4,1514,3,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01018138
2.01E+12,516290,272030,-0.294714,52.334003,35,3,1,2,22/04/2012,1,16:58,393,E10000003,3,14,3,70,5,4,6,0,0,0,1,1,1,0,0,2,1,E01018125
2.01E+12,508970,274540,-0.401285,52.358062,35,3,1,1,22/04/2012,1,22:12,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01018126
2.01E+12,522460,295300,-0.195684,52.541761,35,3,1,1,23/04/2012,2,12:22,393,E10000003,4,1095,6,60,0,-1,-1,0,0,0,1,2,2,0,2,2,1,E01018213
2.01E+12,518370,260530,-0.268237,52.230216,35,2,1,1,23/04/2012,2,12:18,393,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01018187
2.01E+12,523350,272490,-0.190984,52.336596,35,3,1,1,26/04/2012,5,13:41,393,E10000003,4,1044,6,30,0,-1,-1,0,0,4,1,1,1,0,6,1,1,E01018150
2.01E+12,529010,282690,-0.104036,52.426947,35,3,1,2,27/04/2012,6,10:00,393,E10000003,4,1040,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01018211
2.01E+12,512830,285640,-0.340889,52.457032,35,3,2,3,27/04/2012,6,12:07,393,E10000003,5,94,6,60,3,4,5,93,0,0,1,1,2,0,0,2,1,E01018192
2.01E+12,520180,295200,-0.229323,52.54137,35,3,1,1,28/04/2012,7,01:26,393,E10000003,4,1091,6,40,0,-1,-1,0,0,0,4,8,2,0,0,2,1,E01018212
